clock_ns,total_power_mw,total_cell_area_um2,slack_ps,provenance
20,10.4133,358652,20.10,ppt_slide_table_extract:slide4.xml
10,20.6254,359511,37.47,ppt_slide_table_extract:slide4.xml
8,25.9535,365373,3.23,ppt_slide_table_extract:slide4.xml
6,34.4214,389591,0.10,ppt_slide_table_extract:slide4.xml
