task,source_class,report_dir,clock_ns,stage,total_power_mw,total_cell_area_um2,slack_ps,power_report,area_report,timing_report
task2,archive,syn/archive/task2/from_silagonn_1/report_20ps,0.02,,1.0602e+04,458357.716306,-2750.45,syn/archive/task2/from_silagonn_1/report_20ps/ppa/drra_wrapper_power.rpt,syn/archive/task2/from_silagonn_1/report_20ps/ppa/drra_wrapper_area.rpt,syn/archive/task2/from_silagonn_1/report_20ps/ppa/drra_wrapper_timing.rpt
task2,archive,syn/archive/task2/from_silagonn_2_task4/rpt_500ps,0.5,,394.5441,381147.717244,-2206.81,syn/archive/task2/from_silagonn_2_task4/rpt_500ps/drra_wrapper_power.txt,syn/archive/task2/from_silagonn_2_task4/rpt_500ps/drra_wrapper_area.txt,syn/archive/task2/from_silagonn_2_task4/rpt_500ps/drra_wrapper_timing.txt
task2,current,syn/rpt_500ps,0.5,,394.5441,381147.717244,-2206.81,syn/rpt_500ps/drra_wrapper_power.txt,syn/rpt_500ps/drra_wrapper_area.txt,syn/rpt_500ps/drra_wrapper_timing.txt
task2,archive,syn/archive/task2/from_silagonn_2_task4/rpt_10ns,10,,20.6254,359511.925331,57.47,syn/archive/task2/from_silagonn_2_task4/rpt_10ns/drra_wrapper_power.txt,syn/archive/task2/from_silagonn_2_task4/rpt_10ns/drra_wrapper_area.txt,syn/archive/task2/from_silagonn_2_task4/rpt_10ns/drra_wrapper_timing.txt
task2,current,syn/rpt_10ns,10,,20.6254,359511.925331,57.47,syn/rpt_10ns/drra_wrapper_power.txt,syn/rpt_10ns/drra_wrapper_area.txt,syn/rpt_10ns/drra_wrapper_timing.txt
task2,archive,syn/archive/task2/from_silagonn_1/report_5ns,5,,41.2225,389365.349859,0.02,syn/archive/task2/from_silagonn_1/report_5ns/ppa/drra_wrapper_power.rpt,syn/archive/task2/from_silagonn_1/report_5ns/ppa/drra_wrapper_area.rpt,syn/archive/task2/from_silagonn_1/report_5ns/ppa/drra_wrapper_timing.rpt
