clock_ns,total_power_mw,total_cell_area_um2,slack_ps,provenance
20,10.4133,358652,20.10,historical_team_summary
10,20.6254,359511,37.47,historical_team_summary
8,25.9535,365373,3.23,historical_team_summary
6,34.4214,389591,0.10,historical_team_summary
